TICKER,OFTIC,MEASURE,FISCALP,PYEAR,PMON,anndats,actual,surpmean,surpstdev,suescore
CSCO,CSCO,EPS,QTR,1996,1,1996-02-08,0.03722,0.03512,0.00092,2.27577
CSCO,CSCO,EPS,QTR,1996,4,1996-05-09,0.04333,0.03913,0.0011,3.82702
CSCO,CSCO,EPS,QTR,1996,7,1996-08-15,0.04556,0.04377,0.00176,1.01765
CSCO,CSCO,EPS,QTR,1996,10,1996-11-05,0.05222,0.05056,0.00107,1.56026
CSCO,CSCO,EPS,QTR,1997,1,1997-02-04,0.05667,0.05545,0.00126,0.96553
CSCO,CSCO,EPS,QTR,1997,4,1997-05-06,0.05778,0.05816,0.00193,-0.19823
CSCO,CSCO,EPS,QTR,1997,7,1997-08-05,0.06111,0.06088,0.00125,0.18346
CSCO,CSCO,EPS,QTR,1997,10,1997-11-04,0.06556,0.06463,0.00106,0.86814
CSCO,CSCO,EPS,QTR,1998,1,1998-02-03,0.07167,0.0698,0.00094,1.98543
CSCO,CSCO,EPS,QTR,1998,4,1998-05-05,0.075,0.07382,0.00108,1.08577
CSCO,CSCO,EPS,QTR,1998,7,1998-08-04,0.08,0.07864,0.00135,1.01218
CSCO,CSCO,EPS,QTR,1998,10,1998-11-04,0.085,0.08395,0.00147,0.71599
CSCO,CSCO,EPS,QTR,1999,1,1999-02-02,0.095,0.08862,0.0013,4.91508
CSCO,CSCO,EPS,QTR,1999,4,1999-05-11,0.1,0.09341,0.00132,5.00921
CSCO,CSCO,EPS,QTR,1999,7,1999-08-10,0.105,0.10065,0.0025,1.74381
CSCO,CSCO,EPS,QTR,1999,10,1999-11-09,0.12,0.11424,0.00434,1.32708
CSCO,CSCO,EPS,QTR,2000,1,2000-02-08,0.1225,0.11743,0.00505,1.00329
CSCO,CSCO,EPS,QTR,2000,4,2000-05-09,0.14,0.13103,0.00296,3.03146
CSCO,CSCO,EPS,QTR,2000,7,2000-08-08,0.16,0.15183,0.00725,1.12649
CSCO,CSCO,EPS,QTR,2000,10,2000-11-06,0.18,0.16771,0.0091,1.34969
CSCO,CSCO,EPS,QTR,2001,1,2001-02-06,0.18,0.18943,0.00338,-2.78901
CSCO,CSCO,EPS,QTR,2001,4,2001-05-08,0.03,0.01467,0.00681,2.25012
CSCO,CSCO,EPS,QTR,2001,7,2001-08-07,0.02,0.02344,0.01035,-0.33207
CSCO,CSCO,EPS,QTR,2001,10,2001-11-05,0.04,0.01806,0.00654,3.3531
CSCO,CSCO,EPS,QTR,2002,1,2002-02-06,0.09,0.05242,0.00502,7.48685
CSCO,CSCO,EPS,QTR,2002,4,2002-05-07,0.11,0.09,0.00778,2.56905
CSCO,CSCO,EPS,QTR,2002,7,2002-08-06,0.14,0.11649,0.00538,4.36793
CSCO,CSCO,EPS,QTR,2002,10,2002-11-06,0.14,0.13091,0.00631,1.4415
ETYS,ETYS,EPS,QTR,1999,3,1999-07-12,-0.14,-0.145,0.00707,0.70711
ETYS,ETYS,EPS,QTR,1999,6,1999-07-27,-0.17,-0.18667,0.02887,0.57735
ETYS,ETYS,EPS,QTR,1999,9,1999-10-28,-0.27,-0.28111,0.01364,0.81446
ETYS,ETYS,EPS,QTR,1999,12,2000-01-27,-0.52,-0.505,0.06113,-0.2454
ETYS,ETYS,EPS,QTR,2000,3,2000-04-27,-0.3,-0.32692,0.01251,2.15274
ETYS,ETYS,EPS,QTR,2000,6,2000-07-27,-0.49,-0.38333,0.02462,-4.33282
ETYS,ETYS,EPS,QTR,2000,9,2000-10-30,-0.33,-0.35273,0.01272,1.78663
ETYS,ETYS,EPS,QTR,2000,12,2001-01-25,-0.52,-0.48833,0.08256,-0.38355
INTC,INTC,EPS,QTR,1995,12,1996-01-16,0.1225,0.13625,0.00455,-3.02088
INTC,INTC,EPS,QTR,1996,3,1996-04-15,0.1275,0.12284,0.00355,1.31144
INTC,INTC,EPS,QTR,1996,6,1996-07-16,0.14625,0.13638,0.00244,4.04534
INTC,INTC,EPS,QTR,1996,9,1996-10-14,0.185,0.15651,0.00621,4.58901
INTC,INTC,EPS,QTR,1996,12,1997-01-14,0.26625,0.23032,0.0133,2.70085
INTC,INTC,EPS,QTR,1997,3,1997-04-14,0.275,0.26036,0.01141,1.28263
INTC,INTC,EPS,QTR,1997,6,1997-07-15,0.23,0.22371,0.00726,0.86602
INTC,INTC,EPS,QTR,1997,9,1997-10-14,0.22,0.22594,0.00668,-0.8885
INTC,INTC,EPS,QTR,1997,12,1998-01-13,0.245,0.22508,0.00999,1.99426
INTC,INTC,EPS,QTR,1998,3,1998-04-14,0.2025,0.17986,0.01096,2.06528
INTC,INTC,EPS,QTR,1998,6,1998-07-14,0.1725,0.17121,0.00668,0.19289
INTC,INTC,EPS,QTR,1998,9,1998-10-13,0.2225,0.19836,0.00621,3.88798
INTC,INTC,EPS,QTR,1998,12,1999-01-12,0.2975,0.26484,0.00698,4.6764
INTC,INTC,EPS,QTR,1999,3,1999-04-13,0.3,0.27445,0.00981,2.60379
INTC,INTC,EPS,QTR,1999,6,1999-07-13,0.255,0.26789,0.00953,-1.35302
INTC,INTC,EPS,QTR,1999,9,1999-10-12,0.275,0.28565,0.01124,-0.94746
INTC,INTC,EPS,QTR,1999,12,2000-01-13,0.345,0.3165,0.00984,2.89657
INTC,INTC,EPS,QTR,2000,3,2000-04-18,0.355,0.34532,0.01132,0.85462
INTC,INTC,EPS,QTR,2000,6,2000-07-18,0.5,0.49222,0.00521,1.4934
INTC,INTC,EPS,QTR,2000,9,2000-10-17,0.41,0.37769,0.00951,3.39683
INTC,INTC,EPS,QTR,2000,12,2001-01-16,0.38,0.37455,0.00596,0.9155
INTC,INTC,EPS,QTR,2001,3,2001-04-17,0.16,0.14682,0.00477,2.76504
INTC,INTC,EPS,QTR,2001,6,2001-07-17,0.12,0.105,0.01063,1.41081
INTC,INTC,EPS,QTR,2001,9,2001-10-16,0.1,0.09583,0.0083,0.50219
INTC,INTC,EPS,QTR,2001,12,2002-01-15,0.15,0.10864,0.00889,4.65365
INTC,INTC,EPS,QTR,2002,3,2002-04-16,0.15,0.14652,0.00775,0.44875
INTC,INTC,EPS,QTR,2002,6,2002-07-16,0.09,0.11043,0.00638,-3.20267
INTC,INTC,EPS,QTR,2002,9,2002-10-15,0.11,0.125,0.0086,-1.74371
INTC,INTC,EPS,QTR,2002,12,2003-01-14,0.16,0.14,0.00559,3.57771
IPET,IPET,EPS,QTR,2000,3,2000-04-25,-2.54,-1.65667,0.10693,-8.26111
IPET,IPET,EPS,QTR,2000,6,2000-07-25,-0.89,-1.115,0.0526,4.27764
IPET,IPET,EPS,QTR,2000,9,2000-10-24,-0.68,-0.98,0.01414,21.2132
LU,LU,EPS,QTR,1996,6,1996-07-18,0.0275,0.01812,0.00513,1.82668
LU,LU,EPS,QTR,1996,9,1996-10-24,0.1,0.09667,0.00556,0.59914
LU,LU,EPS,QTR,1996,12,1997-01-21,0.3375,0.33097,0.00713,0.91554
