gvkey,iid,datadate,tic,conm,prccd,exchg
006008,01,1996-01-02,INTC,INTEL CORP,58.62500000,14
006008,01,1996-01-03,INTC,INTEL CORP,57.75000000,14
006008,01,1996-01-04,INTC,INTEL CORP,57.50000000,14
006008,01,1996-01-05,INTC,INTEL CORP,57.50000000,14
006008,01,1996-01-08,INTC,INTEL CORP,57.62500000,14
006008,01,1996-01-09,INTC,INTEL CORP,55.00000000,14
006008,01,1996-01-10,INTC,INTEL CORP,54.12500000,14
006008,01,1996-01-11,INTC,INTEL CORP,56.87500000,14
006008,01,1996-01-12,INTC,INTEL CORP,56.62500000,14
006008,01,1996-01-15,INTC,INTEL CORP,53.37500000,14
006008,01,1996-01-16,INTC,INTEL CORP,55.75000000,14
006008,01,1996-01-17,INTC,INTEL CORP,50.12500000,14
006008,01,1996-01-18,INTC,INTEL CORP,51.00000000,14
006008,01,1996-01-19,INTC,INTEL CORP,51.37500000,14
006008,01,1996-01-22,INTC,INTEL CORP,52.00000000,14
006008,01,1996-01-23,INTC,INTEL CORP,52.68800000,14
006008,01,1996-01-24,INTC,INTEL CORP,54.75000000,14
006008,01,1996-01-25,INTC,INTEL CORP,54.62500000,14
006008,01,1996-01-26,INTC,INTEL CORP,55.00000000,14
006008,01,1996-01-29,INTC,INTEL CORP,54.43800000,14
006008,01,1996-01-30,INTC,INTEL CORP,54.12500000,14
006008,01,1996-01-31,INTC,INTEL CORP,55.23400000,14
006008,01,1996-02-01,INTC,INTEL CORP,56.25000000,14
006008,01,1996-02-02,INTC,INTEL CORP,56.75000000,14
006008,01,1996-02-05,INTC,INTEL CORP,58.50000000,14
006008,01,1996-02-06,INTC,INTEL CORP,59.50000000,14
006008,01,1996-02-07,INTC,INTEL CORP,58.25000000,14
006008,01,1996-02-08,INTC,INTEL CORP,57.87500000,14
006008,01,1996-02-09,INTC,INTEL CORP,58.00000000,14
006008,01,1996-02-12,INTC,INTEL CORP,58.23400000,14
006008,01,1996-02-13,INTC,INTEL CORP,57.12500000,14
006008,01,1996-02-14,INTC,INTEL CORP,58.00000000,14
006008,01,1996-02-15,INTC,INTEL CORP,57.50000000,14
006008,01,1996-02-16,INTC,INTEL CORP,57.56300000,14
006008,01,1996-02-20,INTC,INTEL CORP,57.62500000,14
006008,01,1996-02-21,INTC,INTEL CORP,59.25000000,14
006008,01,1996-02-22,INTC,INTEL CORP,61.00000000,14
006008,01,1996-02-23,INTC,INTEL CORP,60.81300000,14
006008,01,1996-02-26,INTC,INTEL CORP,60.37500000,14
006008,01,1996-02-27,INTC,INTEL CORP,60.25000000,14
006008,01,1996-02-28,INTC,INTEL CORP,60.75000000,14
006008,01,1996-02-29,INTC,INTEL CORP,58.81300000,14
006008,01,1996-03-01,INTC,INTEL CORP,56.06300000,14
006008,01,1996-03-04,INTC,INTEL CORP,54.87500000,14
006008,01,1996-03-05,INTC,INTEL CORP,55.37500000,14
006008,01,1996-03-06,INTC,INTEL CORP,53.50000000,14
006008,01,1996-03-07,INTC,INTEL CORP,53.12500000,14
006008,01,1996-03-08,INTC,INTEL CORP,53.50000000,14
006008,01,1996-03-11,INTC,INTEL CORP,55.25000000,14
006008,01,1996-03-12,INTC,INTEL CORP,54.87500000,14
006008,01,1996-03-13,INTC,INTEL CORP,56.12500000,14
006008,01,1996-03-14,INTC,INTEL CORP,56.12500000,14
006008,01,1996-03-15,INTC,INTEL CORP,58.87500000,14
006008,01,1996-03-18,INTC,INTEL CORP,59.50000000,14
006008,01,1996-03-19,INTC,INTEL CORP,58.75000000,14
006008,01,1996-03-20,INTC,INTEL CORP,55.50000000,14
006008,01,1996-03-21,INTC,INTEL CORP,55.87500000,14
006008,01,1996-03-22,INTC,INTEL CORP,56.12500000,14
006008,01,1996-03-25,INTC,INTEL CORP,54.89100000,14
006008,01,1996-03-26,INTC,INTEL CORP,56.12500000,14
006008,01,1996-03-27,INTC,INTEL CORP,56.62500000,14
006008,01,1996-03-28,INTC,INTEL CORP,56.37500000,14
006008,01,1996-03-29,INTC,INTEL CORP,56.87500000,14
006008,01,1996-04-01,INTC,INTEL CORP,57.12500000,14
006008,01,1996-04-02,INTC,INTEL CORP,56.87500000,14
006008,01,1996-04-03,INTC,INTEL CORP,57.62500000,14
006008,01,1996-04-04,INTC,INTEL CORP,59.25000000,14
006008,01,1996-04-08,INTC,INTEL CORP,60.62500000,14
006008,01,1996-04-09,INTC,INTEL CORP,61.87500000,14
006008,01,1996-04-10,INTC,INTEL CORP,61.75000000,14
006008,01,1996-04-11,INTC,INTEL CORP,60.43800000,14
006008,01,1996-04-12,INTC,INTEL CORP,59.62500000,14
006008,01,1996-04-15,INTC,INTEL CORP,60.56300000,14
006008,01,1996-04-16,INTC,INTEL CORP,64.87500000,14
006008,01,1996-04-17,INTC,INTEL CORP,64.18800000,14
006008,01,1996-04-18,INTC,INTEL CORP,65.75000000,14
006008,01,1996-04-19,INTC,INTEL CORP,65.25000000,14
006008,01,1996-04-22,INTC,INTEL CORP,67.75000000,14
006008,01,1996-04-23,INTC,INTEL CORP,68.10900000,14
006008,01,1996-04-24,INTC,INTEL CORP,70.25000000,14
006008,01,1996-04-25,INTC,INTEL CORP,69.62500000,14
006008,01,1996-04-26,INTC,INTEL CORP,69.25000000,14
006008,01,1996-04-29,INTC,INTEL CORP,68.12500000,14
006008,01,1996-04-30,INTC,INTEL CORP,67.75000000,14
006008,01,1996-05-01,INTC,INTEL CORP,67.87500000,14
006008,01,1996-05-02,INTC,INTEL CORP,68.00000000,14
006008,01,1996-05-03,INTC,INTEL CORP,68.68800000,14
006008,01,1996-05-06,INTC,INTEL CORP,68.75000000,14
006008,01,1996-05-07,INTC,INTEL CORP,67.87500000,14
006008,01,1996-05-08,INTC,INTEL CORP,68.75000000,14
006008,01,1996-05-09,INTC,INTEL CORP,68.62500000,14
006008,01,1996-05-10,INTC,INTEL CORP,69.12500000,14
006008,01,1996-05-13,INTC,INTEL CORP,71.75000000,14
006008,01,1996-05-14,INTC,INTEL CORP,72.87500000,14
006008,01,1996-05-15,INTC,INTEL CORP,72.37500000,14
006008,01,1996-05-16,INTC,INTEL CORP,71.87500000,14
006008,01,1996-05-17,INTC,INTEL CORP,71.12500000,14
006008,01,1996-05-20,INTC,INTEL CORP,71.00000000,14
006008,01,1996-05-21,INTC,INTEL CORP,70.25000000,14
006008,01,1996-05-22,INTC,INTEL CORP,69.87500000,14
006008,01,1996-05-23,INTC,INTEL CORP,70.87500000,14
006008,01,1996-05-24,INTC,INTEL CORP,71.00000000,14
006008,01,1996-05-28,INTC,INTEL CORP,72.50000000,14
006008,01,1996-05-29,INTC,INTEL CORP,71.37500000,14
006008,01,1996-05-30,INTC,INTEL CORP,71.50000000,14
006008,01,1996-05-31,INTC,INTEL CORP,75.50000000,14
