TICKER,OFTIC,MEASURE,FISCALP,PYEAR,PMON,anndats,actual,surpmean,surpstdev,suescore
NCB,BAC,EPS,QTR,2006,12,2007-01-23,1.19,1.18,0.01624,0.61588
NCB,BAC,EPS,QTR,2007,3,2007-04-19,1.17,1.15083,0.01743,1.09995
NCB,BAC,EPS,QTR,2007,6,2007-07-19,1.28,1.19857,0.02056,3.95996
NCB,BAC,EPS,QTR,2007,9,2007-10-18,0.82,1.05524,0.10462,-2.24841
NCB,BAC,EPS,QTR,2007,12,2008-01-22,0.05,0.17895,0.09451,-1.36438
NCB,BAC,EPS,QTR,2008,3,2008-04-21,0.23,0.41,0.25028,-0.71919
NCB,BAC,EPS,QTR,2008,6,2008-07-21,0.72,0.532,0.15833,1.18737
NCB,BAC,EPS,QTR,2008,9,2008-10-06,0.15,0.62167,0.13678,-3.44836
NCB,BAC,EPS,QTR,2008,12,2009-01-16,-0.48,0.077,0.18442,-3.02025
NCB,BAC,EPS,QTR,2009,3,2009-04-20,0.44,0.048,0.114,3.43863
NCB,BAC,EPS,QTR,2009,6,2009-07-17,0.33,0.27576,0.18843,0.28784
NCB,BAC,EPS,QTR,2009,9,2009-10-16,-0.26,-0.20533,0.12906,-0.42359
NCB,BAC,EPS,QTR,2009,12,2010-01-20,-0.6,-0.52462,0.10893,-0.69205
NCB,BAC,EPS,QTR,2010,3,2010-04-16,0.28,0.09261,0.05659,3.31162
NCB,BAC,EPS,QTR,2010,6,2010-07-16,0.27,0.2196,0.06413,0.78594
NCB,BAC,EPS,QTR,2010,9,2010-10-19,0.27,0.16208,0.04616,2.33814
NCB,BAC,EPS,QTR,2010,12,2011-01-21,0.04,0.14421,0.0782,-1.33268
GS1,GS,EPS,QTR,2006,12,2007-02-07,0.27,0.205,0.03536,1.83848
GS1,GS,EPS,QTR,2007,3,2007-05-10,0.17,0.15,0.01414,1.41421
GS1,GS,EPS,QTR,2007,6,2007-09-20,1.99,1.38,0.60605,1.00651
GS1,GS,EPS,QTR,2007,9,2007-11-08,0.26,0.24,0.00816,2.44949
GS1,GS,EPS,QTR,2007,12,2008-02-07,0.48,0.45667,0.00577,4.04145
GS1,GS,EPS,QTR,2008,3,2008-05-08,0.22,0.252,0.01304,-2.45429
GS1,GS,EPS,QTR,2008,6,2008-09-18,0.38,0.345,0.0468,0.7479
GS1,GS,EPS,QTR,2008,9,2008-11-06,0.21,0.24,0.01732,-1.73205
GS1,GS,EPS,QTR,2008,12,2009-02-05,0.18,0.20429,0.03952,-0.6145
GS1,GS,EPS,QTR,2009,3,2009-05-07,0.14,0.13143,0.01574,0.5447
GS1,GS,EPS,QTR,2009,6,2009-09-17,0.2,0.19875,0.02532,0.04937
GS1,GS,EPS,QTR,2009,9,2009-11-05,0.2,0.19333,0.01,0.66667
GS1,GS,EPS,QTR,2009,12,2010-02-04,0.73,0.9,0.07778,-2.1856
GS1,GS,EPS,QTR,2010,3,2010-05-06,0.17,0.20778,0.01302,-2.90219
GS1,GS,EPS,QTR,2010,6,2010-09-16,0.2,0.21875,0.05167,-0.36289
GS1,GS,EPS,QTR,2010,9,2010-11-04,0.22,0.19286,0.01604,1.69262
GSG,GS,EPS,QTR,2007,2,2007-03-13,6.67,4.97118,0.30048,5.65377
GSG,GS,EPS,QTR,2007,5,2007-06-14,4.93,4.78765,0.32437,0.43885
GSG,GS,EPS,QTR,2007,8,2007-09-20,6.13,4.35056,0.35126,5.06592
GSG,GS,EPS,QTR,2007,11,2007-12-18,7.01,6.60778,0.5015,0.80204
GSG,GS,EPS,QTR,2008,2,2008-03-18,3.23,2.57778,0.40017,1.62986
GSG,GS,EPS,QTR,2008,5,2008-06-17,4.58,3.415,0.22887,5.09033
GSG,GS,EPS,QTR,2008,8,2008-09-16,1.81,1.70895,0.25146,0.40186
GSG,GS,EPS,QTR,2008,11,2008-12-16,-4.97,-3.72833,1.48602,-0.83557
GSG,GS,EPS,QTR,2009,3,2009-04-13,3.39,1.64188,0.61983,2.82033
GSG,GS,EPS,QTR,2009,6,2009-07-14,4.93,3.542,0.48953,2.83538
